product_id,brand_name,price_usd,primary_category
P469111,Kate Somerville,140.0,Skincare
P392142,Tata Harper,88.0,Skincare
P442540,Alpha-H,65.0,Skincare
P442853,Dr. Jart+,20.0,Skincare
P463964,Sunday Riley,48.0,Skincare
P379995,Estée Lauder,120.0,Skincare
P379705,Tata Harper,76.0,Skincare
P471045,Kate Somerville,54.0,Skincare
P471042,iNNBEAUTY PROJECT,24.0,Skincare
P471567,Origins,27.0,Skincare
P475180,TULA Skincare,49.0,Skincare
P502322,iNNBEAUTY PROJECT,36.0,Skincare
P440072,KORA Organics,52.0,Skincare
P374115,CLINIQUE,44.0,Skincare
P474121,StriVectin,82.0,Skincare
P468709,The Ordinary,6.4,Skincare
P455622,CLINIQUE,85.0,Skincare
P440484,Mario Badescu,7.0,Skincare
P422004,Kiehl's Since 1851,38.0,Skincare
P2046,Evian,23.5,Skincare
P469112,Kate Somerville,140.0,Skincare
P474940,CLINIQUE,21.0,Skincare
P505338,alpyn beauty,39.0,Skincare
P424985,TAN-LUXE,48.0,Skincare
P472467,GLO Science,25.0,Skincare
P474839,HUM Nutrition,50.0,Skincare
P421271,Kate Somerville,76.0,Skincare
P482328,The Ordinary,6.5,Skincare
P469517,Paula's Choice,29.0,Skincare
P480608,Hourglass,68.0,Skincare
P502200,Kate Somerville,78.0,Skincare
P432421,SEPHORA COLLECTION,5.5,Skincare
P503809,First Aid Beauty,44.0,Skincare
P456991,CLINIQUE,32.0,Skincare
P450587,Naturally Serious,39.0,Skincare
P383051,Dr. Brandt Skincare,132.0,Skincare
P474838,HUM Nutrition,26.0,Skincare
P438643,BeautyBio,39.0,Skincare
P404169,Algenist,70.0,Skincare
P471040,iNNBEAUTY PROJECT,22.0,Skincare
P479701,Kate Somerville,68.0,Skincare
P402943,Slip,110.0,Skincare
P504523,Glossier,26.0,Skincare
P440306,tarte,14.0,Skincare
P401570,Origins,37.0,Skincare
P382356,Kate Somerville,98.0,Skincare
P454771,lilah b.,14.0,Skincare
P502197,Kate Somerville,76.0,Skincare
P444013,SEPHORA COLLECTION,35.0,Skincare
P456413,KORRES,16.0,Skincare
P450947,Drunk Elephant,28.0,Skincare
P438628,BeautyBio,65.0,Skincare
P422005,Kiehl's Since 1851,38.0,Skincare
P410101,CLINIQUE,31.0,Skincare
P500753,Charlotte Tilbury,55.0,Skincare
P442539,Alpha-H,65.0,Skincare
P476679,FaceGym,65.0,Skincare
P447773,SK-II,99.0,Skincare
P438635,BeautyBio,39.0,Skincare
P399656,First Aid Beauty,30.0,Skincare
P453822,Dr. Brandt Skincare,71.0,Skincare
P503683,Peace Out,19.0,Skincare
P481341,Dr. Dennis Gross Skincare,72.0,Skincare
P482005,HUM Nutrition,40.0,Skincare
P399622,Tatcha,95.0,Skincare
P459131,OLEHENRIKSEN,65.0,Skincare
P431733,Kiehl's Since 1851,46.0,Skincare
P502479,Youth To The People,42.0,Skincare
P386759,HUM Nutrition,26.0,Skincare
P412407,Tata Harper,130.0,Skincare
P469110,Kate Somerville,110.0,Skincare
P475907,Augustinus Bader,390.0,Skincare
P476894,NUDESTIX,35.0,Skincare
P500111,HUM Nutrition,45.0,Skincare
P440490,Mario Badescu,15.0,Skincare
P378219,Shiseido,72.0,Skincare
P502749,The INKEY List,17.99,Skincare
P479703,Kate Somerville,44.0,Skincare
P408241,Origins,73.0,Skincare
P422428,Lancôme,57.0,Skincare
P504016,MARA,66.0,Skincare
P504031,MARA,120.0,Skincare
P502691,The INKEY List,24.99,Skincare
P461161,First Aid Beauty,26.0,Skincare
P395723,COOLA,28.0,Skincare
P401158,PMD,159.0,Skincare
P404168,Algenist,85.0,Skincare
P442546,Alpha-H,38.0,Skincare
P446629,PMD,149.0,Skincare
P481086,FaceGym,60.0,Skincare
P500160,Naturally Serious,36.0,Skincare
P473336,Youth To The People,59.0,Skincare
P469478,INC.redible,20.0,Skincare
P411360,Dr. Dennis Gross Skincare,52.0,Skincare
P475188,TULA Skincare,58.0,Skincare
P473723,Saint Jane Beauty,68.0,Skincare
